product id,product name,"Brewery Dist, Edmonton","Lonsdale, Vancouver","Mcarthur, Ottawa","Mclaughlin, Toronto"
437,Mocha Cappuccino,6.99,6.99,6.99,6.99
438,"Morel Mushrooms, Dried",,,12.99,12.99
439,Morning Glory Juice,,,8.99,8.99
440,"Mucci, Sundrops Tomato",,,3.99,3.99
441,"Mushroom Kebab, 2 pack",6.0,,6.0,
442,"Mushroom Kebab, 4 pack",10.0,,,
443,"Mushroom White, Sliced",3.99,3.99,3.69,3.69
444,Naturally Imperfect Avocados,9.99,9.99,9.99,9.99
445,Naturally Imperfect Lemons,,6.99,,
446,Naturally Imperfect Lemons 3lb Bag,,,5.99,5.99
447,Naturally Imperfect Limes,,5.99,6.99,6.99
448,Naturally Imperfect Mixed Sweet Peppers 2.5lb Bag,5.99,5.99,7.99,
449,Navel Orange,2.31,2.31,2.31,2.31
450,"Navel Orange, Medium",2.24,2.24,,
451,Navel Oranges,7.99,7.99,7.99,7.99
452,Nectarine,,,8.99,
453,Nectarines,,,2.16,2.16
454,"Neptune Crab Salad, Mini",5.0,,,
455,No shell BBQ Pistachios,9.99,9.99,8.99,8.99
456,"No shell Pistachios, Sea Salt & Vinegar",9.99,,,8.99
457,Okra,1.21,1.21,,
458,Okra (1 pack),,,,5.08
459,"Onions, Medium",,30.49,,
460,Ontario Baby Spinach,,,5.99,5.99
461,Ontario Greenhouse-Grown Strawberries,6.99,6.99,5.99,5.99
462,Ontario Spring Mix,,,5.99,
463,Orange Juice,12.0,12.0,,
464,Orange Wedges Small,5.0,,5.0,
465,Oranges Wedges,7.0,,,
466,Oregano,,3.29,2.99,2.99
467,Org Kom Rasp Lemn 700Ml,5.99,5.99,5.99,5.99
468,Organic Asparagus,6.99,6.99,,6.99
469,Organic Baby King Oyster Mushrooms,,,,5.99
470,"Organic Bananas, Bunch",2.88,2.88,2.88,2.88
471,Organic Bartlett Pears,,,,1.76
472,Organic Basil,3.29,3.29,,
473,Organic Beet Bunch,,,5.99,5.99
474,Organic Black Kale,,,4.99,4.99
475,Organic Black Oyster Whole Mushrooms,,,3.99,3.99
476,Organic Blackberries,6.49,6.49,5.99,
477,Organic Booster Farma-C+,,,14.99,3.99
478,Organic Booster Inside Job,,,3.99,3.99
479,Organic Booster Lullaby,,,3.99,3.99
480,Organic Broccoli,6.99,6.99,5.99,5.99
481,Organic Broccoli Florets,6.99,,6.99,6.99
482,Organic Brussel Sprouts,9.99,,,6.99
483,Organic Button White Mushrooms,4.99,,3.99,3.99
484,Organic Cantaloupe,6.99,,,6.99
485,Organic Carrots,4.49,4.49,4.69,4.69
486,Organic Carrots Bunched,4.99,4.99,4.99,4.99
487,Organic Cauliflower,7.49,7.49,6.99,6.99
