product id,product name,"Brewery Dist, Edmonton","Lonsdale, Vancouver","Mcarthur, Ottawa","Mclaughlin, Toronto"
762,Sweet Cauliflower Tender Stems,,,5.99,
763,Sweet Chili Refrigerated Dip,5.99,5.99,5.99,5.99
764,Sweet Green Peppers,3.08,3.08,2.46,2.46
765,Sweet Kale,9.0,9.0,,
766,Sweet Kale Salad Family Size,,17.0,17.0,17.0
767,Sweet Kale Salad Kit,6.49,6.49,5.99,5.99
768,Sweet Nantes Carrots,,,3.99,3.99
769,Sweet Onion,3.03,3.03,2.73,2.73
770,"Sweet Onion Vinaigrette, Pouch",,,0.59,0.59
771,Sweet Potato,3.46,3.46,2.49,2.49
772,Sweet Potato Crinkle Fries,,,7.0,
773,Sweet Potatoes,9.99,9.99,5.99,5.99
774,Taiwanese Flat Cabbage,3.97,,,4.96
775,Tamarinds,5.99,,5.99,5.99
776,"Taro Root, Medium",,,16.46,16.46
777,Tarragon,3.29,3.29,,2.99
778,The Built,,,,12.0
779,The Chop,,,,12.0
780,Thyme,3.29,3.29,2.99,2.99
781,Tiffany Gate Feta Fiesta Kale Salad,,,2.29,2.29
782,Tiffany Gate Golden Chickpea Salad,,2.29,,
783,Tiffany Gate Italian Gemelli Salad,,,2.29,
784,Tomato Beefsteak Red,1.47,1.47,1.47,1.47
785,Tomato Bocconcini Salad,9.0,,,
786,Tomato Grape Cherub,6.99,,,
787,Tomato On The Vine Red (1 Bunch),4.68,4.68,2.33,2.33
788,Tomato Sugar Bomb,,,6.99,6.99
789,Tomatoes,,,6.99,
790,Turkish Pearl Couscous Salad,,,5.61,5.61
791,Turmeric,,,4.32,4.32
792,Turnips,2.5,,2.92,2.92
793,Ultraviolet Organic Kombucha,,,9.99,9.99
794,Unsalted California Pistachios,11.99,11.99,10.99,10.99
795,Vanilla Chai Tea,,6.99,6.99,6.99
796,Variety Pack Tomatoes,8.99,8.99,,
797,Vegetable Medley,8.99,5.49,5.49,5.49
798,Vegetable Platter Large,,21.0,21.0,
799,"Veggie Dip, Light Ranch",5.99,5.99,5.99,5.99
800,"Veggie Dip, Ranch",,5.99,5.99,5.99
801,"Veggie Dip, Ranch Snack Pack",,6.99,6.99,6.99
802,"Veggie Dip, Southwest Ranch",5.99,5.99,5.99,5.99
803,"Veggie Dip, Spinach",5.99,5.99,5.99,5.99
804,"Veggie Platter, Small",,15.0,,14.0
805,Veggie Tripack,14.0,14.0,14.0,
806,Vero Tomato,,,6.99,6.99
807,Villagio Marzano Tomatoes,7.99,7.99,,
808,Washed Lettuce Crispies & Crunchies,5.99,5.99,,
809,Watercress,3.99,,,2.49
810,Watermelon Cubed Large,9.0,9.0,10.0,
811,Watermelon Cubed Small 300G,,6.0,,6.0
812,Watermelon Quarters,,,6.28,
813,White Flesh Nectarine,1.06,1.06,1.85,1.85
814,White Mushrooms,0.36,0.36,,
815,White Onion,2.44,2.44,2.19,2.19
816,White Peaches,2.31,2.31,2.31,2.31
817,White Potatoes,2.37,8.49,2.37,2.37
818,White Yams,,,6.05,6.05
819,"Wonderful Pistachios, Roasted & Salted",,6.99,6.49,6.49
820,"Wonderful Pistachios, Shelled",,,,8.99
821,"Wonderful Pistachios, Sweet Chili",6.99,6.99,,6.49
822,Yellow Asian Pears,2.46,2.46,2.46,
823,Yellow Beans,,,,5.99
824,Yellow Caribe Hot Peppers,,5.99,,
825,Yellow Dragon Fruit,6.99,,5.99,5.99
826,Yellow Hot Hot Peppers,,,4.99,4.99
827,Yellow Mini Potatoes,4.99,4.99,4.99,4.99
828,Yellow Nectarines,2.16,,,
829,Yellow Onion,,,1.54,1.54
830,Yellow Onions,3.49,3.49,2.99,2.99
831,Yellow Onions Diced,4.0,,,
832,Yellow Peaches,3.08,3.08,,
833,Yellow Potato 10lb Bag,8.49,,,
834,Yellow Potatoes,6.99,1.78,6.99,6.99
835,"Yellow Russet Potatoes, 10 Lbs",,,,6.99
836,Yellow Yams,,,6.05,6.05
837,Zucchini,1.85,1.85,1.66,1.66
838,"Zucchini Pepper Kebab, 2 pack",6.0,,,
839,"Zucchini Pepper Kebab, 4 pack",10.0,,,
