product name,"Brewery Dist, Edmonton","Lonsdale, Vancouver","Mcarthur, Ottawa","Mclaughlin, Toronto"
Butternut Squash,12.38,12.38,12.38,12.38
Butternut Squash Crinkle Fries,,,7,
C-Boost,6.99,6.99,6.99,6.99
"Cabbage, Green",6.27,6.27,4.77,4.77
Cactus Pears 12X4ct,,,3.99,3.99
Caesar Salad Chop Kit,6.99,6.99,,
Caesar Salad Family Size,17,,17,17
Caesar Salad Kit,5.99,7.99,5.99,7.99
Caesar Salad Mini,5,5,5,
Caesar Salad with Toppings Single Sized,6.99,6.99,5.99,5.99
"Caesar Salad, No Bacon",,5,,
California Salad,9,,,
Canadian Reds Lettuce,5.99,5.99,,
Cantaloupe,4.99,4.99,5.99,5.99
Cantaloupe Halves,6,,,
Cantaloupe Slices,6,,6,6
"Caprese Salad, Mini",10,,,
Car Cara Orange,,,6.49,
Caramel Dip,,,,5.99
Caramel Dip Snack,6.49,6.49,6.49,6.49
Caribbean Avocado,5.99,,3.99,3.99
Carrot Chips,,,2.99,2.99
Carrots,0.57,0.57,3.99,3.99
Carrots & Celery,6,6,,
Carrots & Cucumber,6,6,6,
Carrots & Snap Peas,,6,,
Carrots 2 LB,2.99,2.99,,
Carrots 5lb Bag,6.99,6.99,,
"Carrots, Bunched",2.99,2.99,,3.99
Cassava,3.73,,3.73,3.73
Cauliflower,5.99,5.99,4.99,4.99
Cauliflower And Broccoli,6,6,6,
Cauliflower Florets,6,6,6,
Cauliflower Slaw,4.49,4.49,4.49,
Cauliflower Steak,10,,,
"Cauliflower, Kale & Cranberry Salad",,,2.29,2.29
Celery Hearts,5.99,5.99,6.99,5.99
Celery Root,8.34,,4.16,4.16
Celery Stalks,3.99,3.99,4.99,4.99
Celery Sticks,,4,,
Cello Spinach,4.99,4.99,4.99,4.99
"Chanterelle Mushrooms, Dried",5.99,5.99,5.99,5.99
Chayote Squash,1.69,,,7.69
Cheddar and Bacon Potato Salad,,,,2.29
Cherry Tomatoes,,,5.99,
"Chick Pea Salad, Mini",5,,,
Chick Pea/Artichoke/Sundried Tomato Salad,,,7.79,7.79
Chicken BLT Salad Mini,5,,5,
Chicken Caesar Salad Family Size,17,17,17,17
Chicken Caesar Salad Mini,5,5,5,5
"Chicken Ceasar Salad, Mini No Bacon",5,5,,
Chicken Salad,,2.29,2.29,2.29
Chickpea Salad,9,9,,
Chinese Broccoli (gai lan),,,,5.37
"Chinese Carrots, Jumbo",4.07,4.07,,3.26
Chinese Napa Cabbage,6.15,6.15,,4.92
Chipotle Chop Salad Kit,6.99,6.99,6.99,6.99
Chives,3.29,,2.99,
Chocolate Dip Original,,,1.5,1.5
Chocolate Granola Packed Parfait with Mixed Berries,,,,5
Chop Chop Kit Everything Caesar,6.99,6.99,6.99,6.99
Chop Chop Kit Teriyaki Pineapple,6.99,6.99,6.99,6.99
Chop Chop Kit Tropical Thai,,,,6.99
Chop Honey Citrus Salad,,7.49,7.49,7.49
Chop Kale Caesar,7.49,7.49,,
Chopped Mexican Style Street Corn Salad Kit,6.99,6.99,6.99,6.99
Chopped Romaine,8.99,8.99,,
"Chopped Salad Kit, Buffalo Ranch",6.99,6.99,6.99,6.99
"Chopped Salad Kit, Dill Pickle",6.99,6.99,6.99,6.99
"Chopped Salad Kit, Maple Bourbon Bacon",6.99,,6.99,6.99
"Chopped Salad Kit, Steakhouse",,6.99,,6.99
"Chopped Salad Kit, Thai Style Chili Mango",,6.99,6.99,
Chunky Bowl,,,5.99,5.99
Cilantro,,1.99,2.69,2.69
Classic Bowl,5.99,5.99,5.99,5.99
Classic Coleslaw,2.29,,2.29,2.29
Cobb Salad with Cheddar Chips,,,9,9
Cobb with Cheddar Salad Mini,5,5,5,5
Cocktail Tomatoes,,,4.99,4.99
Coconut Rolled Medjool Dates,,,,8.99
Coconuts,3.99,,2.49,
Cold Pressed Juice Be Well,5.99,5.99,5.99,
Cold Pressed Juice C Well,,5.99,5.99,5.99
Cold Pressed Juice Greens,5.99,5.99,5.99,5.99
Cold Pressed Juice Played,5.99,5.99,5.99,5.99
Cold Pressed Lemonade,6,6,6,6
Cold-Pressed Juice Better Together Grapefruit Orange Ginger,,,8.99,8.99
Cold-Pressed Juice Magic Sip,,,8.99,8.99
Coleslaw,3.49,3.49,3.49,3.49
Collagen Booster Glow Multipack,,,14.99,14.99
Collard Greens,,,3.99,3.99
Colossal Garlic,,,1.76,
Cooked Beets,5.99,5.99,4.99,4.99
Cored Pineapple,7.49,7.49,,
Corn & Pepper Quinoa,22.9,22.9,,
Corn On The Cob,5.99,5.99,4.99,4.99
"Corn Pepper Zucchini Red Pepper Kebab, 2 pack",,6,,
"Corn Pepper Zucchini Red Pepper Kebab, 4 pack",10,,,
Cranberry Kombucha,,,4.99,
Creamy Golden Potatoes,,,3.99,
Creamy Greek Pouch 44Ml,,,0.59,
Cremini Mushrooms,0.36,0.36,,
Crumbled Cauliflower,,4.99,,
Cubanelle Peppers,,,1.87,1.87
"Cubed Kiwi & Strawberries, Small",,,,6
Curly Parsley,2.69,2.69,2.69,
Cut Papaya Halves,5,,,
Daily Greens,,,6.99,6.99
Dandelion Greens,,,4.99,4.99
Dates Cups,3.69,,,
Dates Medjool,,16.99,,14.99
Decadent Blueberry Parfait,5,,,
Decadent Strawberry Parfait,5,,,
Deluxe Bean Salad,,,5.5,5.5
Deluxe Neptune Salad,,,,2.29
Detox 60 ml,3.99,,,
"Diced Mango, Small",6,,,
"Diced Papaya, Small",6,,,
Dill,,,2.99,2.99
Dill Refrigerated Dip,5.99,5.99,5.99,5.99
Dip Organic Ranch,5.49,,5.49,5.49
Dragon Fruit,4.99,,,
Dragon Fruit Parfait,,5,,
Dressing And Dip Caesar Light,,,0.59,
Dressing Blue Cheese,0.59,,,0.59
Dressing Caesar,0.59,0.59,,0.59
Dried Mangos,,,,9.99
Dried Porcini Mushrooms,5.99,5.99,5.99,5.99
Dried Turkish Apricots,3.99,3.99,,3.49
Dried Turkish Figs,2.99,2.99,,2.99
Duda Celery Sticks,5.99,5.99,,5.99
Early Bird Smoothie,,,8.99,8.99
Eddoes,,,1.32,1.32
"Eggplant, Baby",0.55,,,
Elixir Lemon+Ginger+Honey,,3.99,,
Empire Apples,,,5.99,5.99
Endive,,,5.99,5.99
English Cucumber,,1.99,1.29,1.29
English Cucumber 3Ct,,,3.49,3.49
Escarole,,,,3.49
Everything Ranch Salad Kit,,6.99,6.99,
Fennel,5.99,5.99,5.49,5.49
Fenugreek,2.99,,,
Fiery Ginger,,,3.99,3.99
Fiery Ginger Juice,,,14.99,14.99
Finger Hot Hot Peppers,,,4.99,4.99
Fingerling Potatoes,4.99,4.99,4.99,4.99
Flavour Burst Sungold Golden Kiwi,,,7.99,7.99
Forelle Pears,,,1.21,1.21
French Bean,,8.99,,8.99
French Beans,5.99,5.99,5.99,5.99
French Onion Refrigerated Dip,5.99,5.99,5.99,5.99
"Fresh Apple, Blueberry, Cranberry, Mint Juice",13,,13,7
"Fresh Apple, Carrot, Beet, Lemon Juice",13,,7,13
"Fresh Apple, Lemon, Ginger, Turmeric Juice",13,7,13,13
Fresh Banana Strawberry Smoothie,5.99,5.99,5.99,5.99
"Fresh Berry Bowl, Small",7,7,,
Fresh Coconut Young,5.99,5.99,4.99,4.99
"Fresh Creamer Potatoes Roasted Garlic, Rosemary & Thyme",4.99,4.99,4.99,
Fresh Creamer Potatoes Smoked Salt,4.99,,4.99,4.99
"Fresh Cut Fruit Salad, Small",7,7,7,
"Fresh Dill, Baby",3.99,3.99,3.99,3.99
Fresh Fruit Snack Cup,,6,,
Fresh Green Spinach Mango Smoothie,5.99,,5.99,
Fresh Guacamole,,4.95,,
"Fresh Guacamole, Small",3.99,,3.99,
Fresh Mango Pineapple Smoothie,5.99,5.99,,
"Fresh Mint, 4"" Pot",,,4.99,
Fresh Orange Juice,6,6,6,
"Fresh Orange, Spinach, Kale, Celery Juice",7,7,,13
Fresh Poultry Herb Blend,3.29,3.29,2.99,2.99
"Fresh Rosemary, 4"" Pot",,,4.99,
Fresh Salsa,4.16,4.16,,
"Fresh Thyme, 4"" Pot",,,4.99,
Frisee Lettuce 2-pack,,,,4.99
"Fruit Dip, Cream Cheese",,5.99,5.99,5.99
Fruit Salad Large,10,,10,10
Fuji Apples,1.58,1.58,1.58,
Fuyu Persimmon,2.99,,2.49,2.49
Gala Apples,1.94,1.94,1.94,1.94
Gala Apples 3Lb Bag,10.99,10.99,9.99,9.99
Gala Apples 3lb Bag,7.99,7.99,,
Garden Salad,8.99,4.49,4.49,
Garden Salad Mini,5,5,5,5
Garden Spring Mix Salad,,,9,
Garden Vegetable Spring Mix,9,,9,
Garlic Bulbs,5.99,,,6.49
"Garlic Bulbs, 3-count",1.99,1.99,1.29,1.29
"Garlic, Peeled",,,,3.49
Genuine Coconut Organic Coconut Chunks,,,5.99,
Genuine Coconut Organic Coconut Topping,,,6.99,6.99
Ginger,2.31,2.31,1.85,1.85
Ginger & Lime Infused Lemonade ,,,,6
Ginger Carrot Turmeric,9.99,9.99,9.99,9.99
Ginger Tumeric Kombucha,,,4.99,4.99
Ginger Turmeric Organic Kombucha,,,9.99,9.99
Gold Cored Pineapple,,,6.99,6.99
Golden Figs,5.99,5.99,5.99,5.99
Good Leaf Baby Arugula,,,,5.99
Good Ol' Macaroni Salad,,,,2.29
Granadilla,2.99,2.99,2.49,2.49
Granny Smith Apples,8.99,8.99,,9.99
Granny Smith Apples 3Lb Bag,10.99,10.99,11.99,11.99
Grape Tomato 907G,7.99,7.99,6.99,6.99
Grape Tomatoes,4.99,4.99,3.99,3.99
Greek Quinoa Salad Kit,1.99,,,1.99
"Greek Quinoa Spring Mix Salad, Mini",,5,,
Greek Salad Family Size,17,17,17,17
Greek Vinaigrette Pouch,,0.59,,0.59
Greek Yogurt Parfait,5,,5,5
Green Beans,5.99,0.5,5.99,4.99
Green Garlic,,,5.99,5.99
Green Goodness,,9.99,4.99,4.99
Green Leaf Lettuce,3.99,3.99,3.99,3.99
Green Onion,1.99,1.99,1.49,1.49
Green Peppers,5.99,5.99,,
Green Seedless Grapes,13.47,13.47,13.47,13.47
Green Swiss Chard,4.99,4.99,3.99,3.99
Green Thai Hot Peppers,5.99,5.99,4.99,4.99
Greenbelt Organic Arugula,,,5.99,5.99
Greenbelt Organic Super Crunch,,,5.99,5.99
Greenhouse Peppers,,4.99,,5.99
"Greenhouse Peppers, Orange",2.64,2.64,2.11,2.11
"Greenhouse Peppers, Yellow",2.75,2.75,2.2,2.2
Grilled Chicken Caesar Salad,,,2.29,2.29
Grilling Veggie Kabobs,8,,,
Guacamole Crunch Chopped Salad Kit,,6.99,6.99,
Guava,6.05,,7.71,
"Halloom Pineapple Kebab, 2 pack",6,,,
Halo Mandarin,,,9.99,9.99
Hami Melons,14.75,14.75,,14.75
Heirloom Tomatoes,,,2.42,2.42
Hibiscus & Rose Hip Infused Lemonade ,,,6,
Homestyle Coleslaw with Yogurt Dressing,,,2.29,2.29
Honey Dijon Kale,6.49,6.49,6.49,
Honey Pitted Dates,,,4.99,4.99
Honey Roasted Pistachios,7.99,7.99,7.99,
Honeycrisp Apples,2.11,2.11,1.32,1.32
Honeydew Cubed Small,6,6,6,
Honeydew Melon,6.99,6.99,7.99,
Honeydew Melon Halves,6,,6,
Honeydew Slices,6,,,6
Horseradish,,,,6.94
Imperfect Apples,,,7.99,7.99
Indian Okra,,,,4.1
Ink. Lemonade Charcoal,5.99,5.99,5.99,
Ink. Lemonade Spirulina,5.99,5.99,,
Inside Job,,,14.99,14.99
Italian Eggplants,,,1.58,1.58
Italian Parsley,,2.69,,2.69
Jalapeno Hot Peppers,5.99,5.99,4.99,4.99
Jalapeno Peppers,0.5,,0.55,0.55
Jamaican Ginger,,,,4.05
Jamaican Sweet Potatoes,,,,5.28
Japanese Yams,7.73,,,6.26
Jicama,4.23,,3.99,3.99
"Juice, 100% Pomegranate",9.99,9.99,9.99,9.99
Kabocha Squash,13.51,13.51,,
Kale,3.99,3.99,3.99,3.99
Kale Slaw,4.49,4.49,4.49,
Kale Spinach Pineapple Orange Blend,,14,,
"Kale, Chard and Spinach Salad Mix",,4.99,,
Kent Mango,,3.49,,
Kiwi Fruit,,7.99,6.99,
Kiwis,,1.09,1.09,1.09
Kohlrabi,3.23,,,3.23
Kombucha Ginger Lemon,,5.99,5.99,5.99
Kombucha Lemon Lime & Mint,,,5.99,
Kombucha Wild Berry,5.99,5.99,5.99,
Large Caesar Salad,,12,12,12
Large Chicken Caesar Salad,12,12,12,12
Large Greek Salad,12,12,12,12
Large House Cheddar Salad,12,12,12,12
Large House Salad,12,12,12,12
Large Lobster Club Salad,17,,,
Large Mediterranean Tuna Salad,13,,,
Large Mexican Style Beef Taco Salad,13,13,13,
Large Neptune Crab Salad,13,,,
Large Organic Pineapple,,,5.99,5.99
Large Shrimp & Bacon Caesar Salad,13,13,,
Large Steak & Egg Salad,13,13,13,
Lavender & Elderflower Infused Lemonade,,,6,6
Lebanese Tabbouleh Salad,,,8.47,8.47
Leeks,6.99,6.99,5.99,5.99
Lemon,0.99,0.99,0.99,0.99
"Lemon Grass, 2 Pack",,,2.99,2.99
Lemongrass,1.99,1.99,,
Lemons,,,5.99,5.99
Lemons 3lb Bag,7.99,7.99,,
Lettuce Green,3.99,,,
Lettuce Iceberg,3.99,3.99,3.99,3.99
Lettuce Little Gem,,,5.99,5.99
Lightly Dried Basil,5.99,,,5.99
Lightly Dried Cilantro,5.99,,,5.99
Lightly Dried Parsley,5.99,,,5.99
"Lightly Dried, Ginger Bowl",,,,5.99
Lime Herbal Kombucha,,,4.99,4.99
Lime Lemongrass Organic Kombucha,,,9.99,9.99
Limes,0.99,0.99,0.99,0.99
Live Lettuce Boston,3.99,3.99,3.49,3.49
"Live Lettuce Green, 2-pack",,,5.99,5.99
"Live Lettuce Red/Green, 2-pack",,,5.99,5.99
Live Lettuce Tri Mix - 1 Unit,3.99,3.99,,3.99
"Live Lettuce Trio, 2-pack",,,5.99,
LoBok (Daikon Radish),3.28,3.28,3.09,3.09
Loaded Potato Salad,2.29,,,
Loads Of Garlic Caesar Salad Kit,6.99,6.99,6.99,6.99
Long Eggplants,1.92,1.92,,
Long Eggplants (1Pack),,,12.76,12.76
Lunch Size Veg and Dip 600G,8,,8,
Mandarin Oranges,2.25,6.99,4.99,4.99
Mango,,,2.99,2.99
Mango Fruit Parfait,,5,,
Mango Red 3Ct,,5.99,,4.99
Mango Spears,8,,,
"Manzano Bananas, Bunch",,,,3.78
"Marinated Tofu Kebab, 2-Pack",6,,,
"Marinated Tofu Kebab, 4-Pack",10,,,
Marjoram,,,,2.99
Marzetti Chocolate Dip 250g,,,5.99,5.99
Matchstick Carrots,,,,2.99
McIntosh Apples,,,5.99,1.1
McIntosh Apples 3lb Bag,6.99,6.99,,
"Mediterranean Tuna Salad, Mini",5,5,,
Mexican Street Corn Salad,,,5.7,5.7
"Mexican Style Beef Taco Salad, Family Size",,19,,
Micro Arugula,,,4.79,4.79
Micro Broccoli,,,4.79,
Microwave Ready Garlic Parsley Potatoes,,,4.99,4.99
Microwave Ready Lemon and Garden Herb Potatoes,4.99,4.99,4.99,4.99
Microwave Ready Savoury Herb Potatoes,4.99,4.99,4.99,4.99
"Mini Bananas, Bunch",,,2.17,2.17
Mini Carrots,5.99,5.99,4.99,4.99
Mini Carrots 1lb,2.99,2.99,,
Mini Cobb Salad,5,,,
Mini Cucumbers,4.99,4.99,4.99,4.99
Mini Garden Cheddar Salad,5,,5,
Mini Greek Salad,,5,,5
Mini Medjools Organic Cranberry Pistachio,11.99,,9.99,
Mini Medjools Sweet & Salty Almond,8.99,,7.99,7.99
Mini Mexican Beef Taco Salad,,5,5,
Mini Potato Trio,7.99,7.99,,7.99
Mini Seedless Watermelon,7.99,7.99,5.99,5.99
Minis,6.99,,6.99,6.99
Mint,3.29,,2.99,2.99
"Mint, Fresh",1.99,,,1.99
Mixed Berry Blend,6,,,
Mixed Berry Juice,12,,,
Mixed Cut Peppers,6,6,,
Mixed Dried Mushrooms,5.99,5.99,5.99,
Mixed Fruit Parfait,5,5,5,
Mixed Greens,4.99,4.99,4.49,4.49
Mixed Little Gems,4.99,,,4.99
Mixed Melon Cubed Large,10,10,10,
Mixed Peppers (6 Pack),,,7.99,
Mixiany Cherry Tomatoes,,,5.99,
Mixiany Tomato 454G,7.49,7.49,,
Mocha Cappuccino,6.99,6.99,6.99,6.99
"Morel Mushrooms, Dried",,,12.99,12.99
Morning Glory Juice,,,8.99,8.99
"Mucci, Sundrops Tomato",,,3.99,3.99
"Mushroom Kebab, 2 pack",6,,6,
"Mushroom Kebab, 4 pack",10,,,
"Mushroom White, Sliced",3.99,3.99,3.69,3.69
Naturally Imperfect Avocados,9.99,9.99,9.99,9.99
Naturally Imperfect Lemons,,6.99,,
Naturally Imperfect Lemons 3lb Bag,,,5.99,5.99
Naturally Imperfect Limes,,5.99,6.99,6.99
Naturally Imperfect Mixed Sweet Peppers 2.5lb Bag,5.99,5.99,7.99,
Navel Orange,2.31,2.31,2.31,2.31
"Navel Orange, Medium",2.24,2.24,,
Navel Oranges,7.99,7.99,7.99,7.99
Nectarine,,,8.99,
Nectarines,,,2.16,2.16
"Neptune Crab Salad, Mini",5,,,
No shell BBQ Pistachios,9.99,9.99,8.99,8.99
"No shell Pistachios, Sea Salt & Vinegar",9.99,,,8.99
Okra,1.21,1.21,,
Okra (1 pack),,,,5.08
"Onions, Medium",,30.49,,
Ontario Baby Spinach,,,5.99,5.99
Ontario Greenhouse-Grown Strawberries,6.99,6.99,5.99,5.99
Ontario Spring Mix,,,5.99,
Orange Juice,12,12,,
Orange Wedges Small,5,,5,
Oranges Wedges,7,,,
Oregano,,3.29,2.99,2.99
Org Kom Rasp Lemn 700Ml,5.99,5.99,5.99,5.99
Organic Asparagus,6.99,6.99,,6.99
Organic Baby King Oyster Mushrooms,,,,5.99
"Organic Bananas, Bunch",2.88,2.88,2.88,2.88
Organic Bartlett Pears,,,,1.76
Organic Basil,3.29,3.29,,
Organic Beet Bunch,,,5.99,5.99
Organic Black Kale,,,4.99,4.99
Organic Black Oyster Whole Mushrooms,,,3.99,3.99
Organic Blackberries,6.49,6.49,5.99,
Organic Booster Farma-C+,,,14.99,3.99
Organic Booster Inside Job,,,3.99,3.99
Organic Booster Lullaby,,,3.99,3.99
Organic Broccoli,6.99,6.99,5.99,5.99
Organic Broccoli Florets,6.99,,6.99,6.99
Organic Brussel Sprouts,9.99,,,6.99
Organic Button White Mushrooms,4.99,,3.99,3.99
Organic Cantaloupe,6.99,,,6.99
Organic Carrots,4.49,4.49,4.69,4.69
Organic Carrots Bunched,4.99,4.99,4.99,4.99
Organic Cauliflower,7.49,7.49,6.99,6.99
Organic Chives,,3.29,,
Organic Collard Greens,,,,4.99
Organic Cooked Beets,6.99,6.99,4.99,4.99
Organic Cremini Mushrooms,8.99,,8.99,8.99
Organic Cucumber Mini,6.99,,5.99,
Organic Curly Parsley,,3.99,3.99,3.99
Organic Dairy Free Shake Rococoa,,,7.99,7.99
Organic Dates,,,,6.99
Organic Dried Apricots,,,,5.99
Organic Dried Dates,,,,5.99
Organic Dried Figs,,,,5.99
Organic English Cucumber,,,3.99,3.99
"Organic English Cucumber, Pack of 2",6.99,6.99,,
Organic Enoki Mushrooms,,,4.49,4.49
Organic Fennel,,,6.99,
Organic Field Greens & Baby Spinach - Salad Mix,6.99,6.99,6.99,6.99
Organic French Beans,,,6.49,6.49
Organic Garlic,,3.49,3.99,
Organic Ginger,,3.79,,3.99
Organic Gold Beet Bunch,,,5.99,
Organic Granny Smith Apples,,,1.67,
Organic Grape Tomatoes,,,9.99,9.99
Organic Green Beans,,,6.99,6.99
Organic Green Cabbage,11.53,,,7.68
Organic Green Dandelion,,,4.99,4.99
Organic Green Kale,4.99,4.99,4.99,4.99
Organic Green Kiwi,5.99,,,
Organic Green Onions,1.99,1.99,2.29,
Organic Iceberg Lettuce,4.99,4.99,4.99,4.99
Organic Italian Parsley,,,,3.99
Organic King Oyster Sliced Mushrooms,,,5.99,5.99
Organic Leeks,6.99,6.99,5.99,5.99
Organic Lemons,6.99,6.99,6.99,6.99
Organic Lime,5.99,5.99,6.99,
Organic Mango,3.49,,,2.99
Organic Mango Passionfruit Kombucha,5.99,5.99,5.99,5.99
Organic Medjool Dates,11.99,11.99,11.99,11.99
Organic Mini Carrots 1lb Bag,,,3.99,
Organic Mint,3.29,3.29,2.99,2.99
Organic Mint Potted,,,,3.99
Organic Mushroom Umami Mix,,8.99,,4.99
Organic Oregano Potted,,,,3.99
Organic Peppers,6.99,6.99,6.99,6.99
Organic Peppers Mini 227G,,,6.99,6.99
Organic Pink Grapefruit Smoothie,,,3.99,3.99
Organic Rainbow Carrots,5.99,5.99,,5.99
Organic Rainbow Swiss Chard,4.99,4.99,4.99,4.99
Organic Raspberries 1/2 pint,6.49,6.49,5.99,
Organic Raspberry Lemon Kombucha,,,3.99,3.99
Organic Red Onions,,,,5.49
Organic Red Potatoes,6.99,6.99,7.99,7.99
Organic Roma Tomatoes,,5.99,,
Organic Rosemary,3.29,3.29,,2.99
Organic Rosemary Potted,,,,3.99
Organic Russet Potatoes,5.49,,,
Organic Sage,,,,3.99
Organic Shake Vanilla Almond Brekky,,,7.99,7.99
Organic Spaghetti Squash,13.77,13.77,,11.8
Organic Strawberries 1 LB,8.99,8.99,6.99,6.99
Organic Sweet Potatoes 3lb Bag,9.99,9.99,6.99,6.99
Organic Swiss Chard Greens,,,4.99,4.99
Organic Thai Basil Potted,,,,3.99
Organic Thyme,3.29,3.29,2.99,2.99
Organic Tomato On The Vine Red (1 Bunch),,7.92,7.92,7.92
Organic White Mushrooms,,3.49,,3.69
Organic White Stuffer Mushrooms,,,,5.99
Organic Whole Cremini Mushroooms,6.49,6.49,,
Organic Yellow Potatoes,6.99,6.99,7.99,7.99
"Organic, Red Kale",,,4.99,4.99
Organics Baby Cut Carrots,6.79,6.79,6.49,6.49
Organics Baby Spinach,6.99,6.99,6.99,6.99
Organics Field Greens Salad Mix,4.99,6.99,4.99,6.99
Organics Multicolour Carrots,,,5.99,5.99
Organics Portobello Mushroom Caps,6.99,,5.99,5.99
Organics Sliced Cremini Mushrooms,3.99,3.99,3.69,
Organics Sliced Portobello Mushrooms,5.49,,,5.99
Organics Whole Button Cremini Mushrooms,4.29,4.29,3.99,3.99
Organics Whole Cremini Mushrooms,3.49,,3.69,3.69
Organics Whole Oyster Mushrooms,4.99,,3.99,3.99
Organics Whole Shitake Mushrooms,4.99,4.99,4.99,4.99
Organics Whole White Mushrooms,8.99,8.99,8.99,8.99
Organics Yellow Onions,4.99,4.99,4.99,4.99
Original Greek Acropolis Salad,,,5.73,5.73
Oven BBQ Ready Garlic Herb Potatoes,,,4.99,4.99
Oven BBQ Ready Onion Chive Potatoes,,,4.99,4.99
Papaya,7.14,7.14,5.71,5.71
Parsnip,,,1.92,
Parsnips 1lb Bag,,,5.99,5.99
Parsnips 2lb Bag,6.49,6.49,,
Passion Fruit,2.49,2.49,1.99,
Paste Basil,5.99,,5.99,5.99
Paste Chunky Garlic,5.99,,,5.99
Paste Cilantro,5.99,5.99,5.99,5.99
Paste Garlic,5.99,,5.99,5.99
Paste Ginger,5.99,,5.99,5.99
Paste Italian Herbs,5.99,5.99,5.99,5.99
Paste Lemongrass,5.99,,5.99,5.99
Paste Thai Seasoning,5.99,,,5.99
Pea Shoots,,,4.79,
Peach Kombucha,,,5.99,5.99
Peaches,8.99,8.99,8.99,8.99
Pearl Onion,,,2.99,2.99
Pencil Hot Hot Peppers,,,4.99,4.99
"Peppers, Mini",4.99,,,5.99
Physalis (Gooseberries),,,4.99,4.99
Pick-Me-Up For Energy Multipack,,,14.99,14.99
Pineapple,5.99,5.99,5.49,5.49
Pineapple Cubed Large,10,10,10,10
Pineapple Cubed Small,6,6,6,6
Pineapple Orange Raspberry Juice,6,,,
"Pineapple Vegetable Kebab, 2 pack",6,,,
"Pineapple Vegetable Kebab, 4 pack",10,10,,
Pineapple/Straws Large,10,,10,10
